date,symbol,ltp,price_return_1d,price_return_1w,price_return_1m,discount_change_1d,discount_change_1w,nav_return_1m
2026-02-26,SAGF,9.9,-1.88,0.3,,-1.81,0.29,2.14
2026-03-01,SAGF,9.9,0.0,-1.59,,0.0,-1.52,2.14
2026-03-03,SAGF,9.9,0.0,0.0,,0.0,0.0,2.14
2026-02-09,SBCF,9.53,,,,,,-1.94
2026-02-10,SBCF,9.5,-0.31,,,-0.27,,-1.94
2026-02-11,SBCF,9.5,0.0,,,0.0,,-1.94
2026-02-12,SBCF,9.4,-1.05,,,-0.88,,-1.94
2026-02-16,SBCF,9.58,1.91,,,1.59,,-1.94
2026-02-17,SBCF,9.4,-1.88,-1.36,,-1.59,-1.15,-1.94
2026-02-22,SBCF,9.58,1.91,0.84,,1.59,0.71,-1.94
2026-02-23,SBCF,9.66,0.84,1.68,,0.71,1.42,-1.94
2026-02-24,SBCF,9.75,0.93,3.72,,0.79,3.09,-1.94
2026-02-25,SBCF,9.51,-2.46,-0.73,,-2.12,-0.62,-1.94
2026-02-26,SBCF,9.35,-1.68,-0.53,,-1.41,-0.44,-1.94
2026-03-01,SBCF,9.45,1.07,-1.36,,0.88,-1.15,-1.94
2026-03-03,SBCF,9.62,1.8,-0.41,,1.5,-0.36,-1.94
2026-02-09,SEF,9.79,,,,,,0.3
2026-02-10,SEF,9.7,-0.92,,,-0.89,,0.3
2026-02-11,SEF,9.79,0.93,,,0.89,,0.3
2026-02-12,SEF,9.79,0.0,,,0.0,,0.3
2026-02-16,SEF,9.65,-1.43,,,-1.68,,0.3
2026-02-17,SEF,9.73,0.83,-0.61,,0.8,-0.88,0.3
2026-02-22,SEF,9.43,-3.08,-2.78,,-2.99,-2.98,0.3
2026-02-23,SEF,9.61,1.91,-1.84,,1.79,-2.08,0.3
2026-02-24,SEF,9.62,0.1,-1.74,,0.1,-1.98,0.3
2026-02-25,SEF,9.55,-0.73,-1.04,,-0.7,-1.0,0.3
2026-02-26,SEF,9.57,0.21,-1.64,,0.2,-1.6,0.3
2026-03-01,SEF,9.6,0.31,1.8,,0.3,1.69,0.3
2026-03-03,SEF,9.7,1.04,0.94,,1.0,0.9,0.3
2026-02-09,SFEF,9.75,,,,,,-4.1
2026-02-10,SFEF,9.59,-1.64,,,-1.4,,-4.1
2026-02-11,SFEF,9.94,3.65,,,3.06,,-4.1
2026-02-12,SFEF,9.8,-1.41,,,-1.22,,-4.1
2026-02-16,SFEF,9.71,-0.92,,,-0.79,,-4.1
2026-02-17,SFEF,9.66,-0.51,-0.92,,-0.44,-0.79,-4.1
2026-02-22,SFEF,9.63,-0.31,0.42,,-0.26,0.35,-4.1
2026-02-23,SFEF,9.6,-0.31,-3.42,,-0.26,-2.97,-4.1
2026-02-24,SFEF,9.54,-0.63,-2.65,,-0.53,-2.28,-4.1
2026-02-25,SFEF,9.61,0.73,-1.03,,0.62,-0.87,-4.1
2026-02-26,SFEF,9.79,1.87,1.35,,1.57,1.14,-4.1
2026-03-01,SFEF,9.75,-0.41,1.25,,-0.35,1.05,-4.1
2026-03-03,SFEF,9.93,1.85,3.44,,1.58,2.89,-4.1
2026-02-09,SFMF,10.38,,,,,,-2.04
2026-02-10,SFMF,10.21,-1.64,,,-1.51,,-2.04
2026-02-11,SFMF,10.21,0.0,,,0.0,,-2.04
2026-02-12,SFMF,10.23,0.2,,,0.18,,-2.04
2026-02-16,SFMF,10.27,0.39,,,0.35,,-2.04
2026-02-17,SFMF,10.26,-0.1,-1.16,,-0.08,-1.06,-2.04
2026-02-22,SFMF,10.26,0.0,0.49,,0.0,0.45,-2.04
2026-02-23,SFMF,10.07,-1.85,-1.37,,-1.68,-1.23,-2.04
2026-02-24,SFMF,10.27,1.99,0.39,,1.76,0.35,-2.04
2026-02-25,SFMF,10.26,-0.1,-0.1,,-0.08,-0.08,-2.04
2026-02-26,SFMF,10.26,0.0,0.0,,0.0,0.0,-2.04
2026-03-01,SFMF,10.06,-1.95,-1.95,,-1.77,-1.77,-2.04
2026-03-03,SFMF,10.06,0.0,-0.1,,0.0,-0.09,-2.04
2026-02-09,SIGS2,9.81,,,,,,0.29
2026-02-10,SIGS2,9.62,-1.94,,,-1.83,,0.29
2026-02-11,SIGS2,9.8,1.87,,,1.73,,0.29
2026-02-12,SIGS2,9.7,-1.02,,,-0.96,,0.29
2026-02-16,SIGS2,9.88,1.86,,,1.46,,0.29
2026-02-17,SIGS2,9.69,-1.92,-1.22,,-1.82,-1.42,0.29
2026-02-22,SIGS2,9.88,1.96,2.7,,1.82,2.23,0.29
2026-02-23,SIGS2,9.69,-1.92,-1.12,,-1.82,-1.32,0.29
2026-02-24,SIGS2,9.69,0.0,-0.1,,0.0,-0.36,0.29
2026-02-25,SIGS2,9.88,1.96,0.0,,1.82,0.0,0.29
2026-02-26,SIGS2,9.69,-1.92,0.0,,-1.82,0.0,0.29
2026-03-01,SIGS2,9.58,-1.14,-3.04,,-1.06,-2.88,0.29
2026-03-03,SIGS2,9.5,-0.84,-1.96,,-0.76,-1.82,0.29
2026-02-09,SIGS3,10.19,,,,,,0.19
2026-02-10,SIGS3,10.3,1.08,,,1.03,,0.19
2026-02-11,SIGS3,9.81,-4.76,,,-4.55,,0.19
2026-02-12,SIGS3,10.35,5.5,,,5.01,,0.19
2026-02-16,SIGS3,10.3,-0.48,,,-0.64,,0.19
2026-02-17,SIGS3,10.21,-0.87,0.2,,-0.84,0.01,0.19
2026-02-22,SIGS3,10.21,0.0,-0.87,,0.0,-1.02,0.19
2026-02-23,SIGS3,10.11,-0.98,3.06,,-0.92,2.61,0.19
2026-02-24,SIGS3,10.17,0.59,-1.74,,0.55,-1.85,0.19
2026-02-25,SIGS3,9.97,-1.97,-3.2,,-1.85,-3.06,0.19
2026-02-26,SIGS3,10.3,3.31,0.88,,3.06,0.84,0.19
2026-03-01,SIGS3,10.3,0.0,0.88,,0.0,0.84,0.19
2026-03-03,SIGS3,10.12,-1.75,0.1,,-1.67,0.09,0.19
2026-02-09,SLCF,9.66,,,,,,0.3
2026-02-10,SLCF,9.85,1.97,,,1.88,,0.3
2026-02-11,SLCF,9.71,-1.42,,,-1.38,,0.3
2026-02-12,SLCF,9.89,1.85,,,1.78,,0.3
2026-02-16,SLCF,9.75,-1.42,,,-1.67,,0.3
2026-02-17,SLCF,9.58,-1.74,-0.83,,-1.68,-1.07,0.3
2026-02-22,SLCF,9.7,1.25,-1.52,,1.19,-1.76,0.3
2026-02-23,SLCF,9.52,-1.86,-1.96,,-1.78,-2.16,0.3
2026-02-24,SLCF,9.51,-0.11,-3.84,,-0.1,-4.04,0.3
2026-02-25,SLCF,9.46,-0.53,-2.97,,-0.49,-2.86,0.3
2026-02-26,SLCF,9.66,2.11,0.84,,1.97,0.79,0.3
2026-03-01,SLCF,9.5,-1.66,-2.06,,-1.57,-1.97,0.3
2026-03-03,SLCF,9.68,1.89,1.68,,1.77,1.58,0.3
